timestamp,hour,minute,day_of_week,is_weekend,ns_vehicle_count,ew_vehicle_count
2025-01-01 00:00:00,0,0,2,0,10,7
2025-01-01 00:05:00,0,5,2,0,7,8
2025-01-01 00:10:00,0,10,2,0,11,8
2025-01-01 00:15:00,0,15,2,0,14,0
2025-01-01 00:20:00,0,20,2,0,7,9
2025-01-01 00:25:00,0,25,2,0,7,7
2025-01-01 00:30:00,0,30,2,0,14,3
2025-01-01 00:35:00,0,35,2,0,11,3
2025-01-01 00:40:00,0,40,2,0,6,5
2025-01-01 00:45:00,0,45,2,0,10,1
2025-01-01 00:50:00,0,50,2,0,6,13
2025-01-01 00:55:00,0,55,2,0,6,12
2025-01-01 01:00:00,1,0,2,0,9,8
2025-01-01 01:05:00,1,5,2,0,0,5
2025-01-01 01:10:00,1,10,2,0,1,5
2025-01-01 01:15:00,1,15,2,0,6,9
2025-01-01 01:20:00,1,20,2,0,4,13
2025-01-01 01:25:00,1,25,2,0,9,4
2025-01-01 01:30:00,1,30,2,0,4,2
2025-01-01 01:35:00,1,35,2,0,2,12
2025-01-01 01:40:00,1,40,2,0,14,0
2025-01-01 01:45:00,1,45,2,0,7,2
2025-01-01 01:50:00,1,50,2,0,8,5
2025-01-01 01:55:00,1,55,2,0,2,0
2025-01-01 02:00:00,2,0,2,0,6,10
2025-01-01 02:05:00,2,5,2,0,8,9
2025-01-01 02:10:00,2,10,2,0,3,4
2025-01-01 02:15:00,2,15,2,0,10,11
2025-01-01 02:20:00,2,20,2,0,6,12
2025-01-01 02:25:00,2,25,2,0,7,6
2025-01-01 02:30:00,2,30,2,0,6,4
2025-01-01 02:35:00,2,35,2,0,15,15
2025-01-01 02:40:00,2,40,2,0,8,9
2025-01-01 02:45:00,2,45,2,0,4,7
2025-01-01 02:50:00,2,50,2,0,11,12
2025-01-01 02:55:00,2,55,2,0,3,7
2025-01-01 03:00:00,3,0,2,0,9,4
2025-01-01 03:05:00,3,5,2,0,0,6
2025-01-01 03:10:00,3,10,2,0,3,10
2025-01-01 03:15:00,3,15,2,0,9,0
2025-01-01 03:20:00,3,20,2,0,11,5
2025-01-01 03:25:00,3,25,2,0,9,12
2025-01-01 03:30:00,3,30,2,0,8,4
2025-01-01 03:35:00,3,35,2,0,7,13
2025-01-01 03:40:00,3,40,2,0,3,12
2025-01-01 03:45:00,3,45,2,0,6,6
2025-01-01 03:50:00,3,50,2,0,7,4
2025-01-01 03:55:00,3,55,2,0,13,5
2025-01-01 04:00:00,4,0,2,0,10,17
2025-01-01 04:05:00,4,5,2,0,2,14
2025-01-01 04:10:00,4,10,2,0,11,7
2025-01-01 04:15:00,4,15,2,0,8,5
2025-01-01 04:20:00,4,20,2,0,7,8
2025-01-01 04:25:00,4,25,2,0,12,8
2025-01-01 04:30:00,4,30,2,0,14,3
2025-01-01 04:35:00,4,35,2,0,14,8
2025-01-01 04:40:00,4,40,2,0,8,13
2025-01-01 04:45:00,4,45,2,0,10,1
2025-01-01 04:50:00,4,50,2,0,13,12
2025-01-01 04:55:00,4,55,2,0,16,15
2025-01-01 05:00:00,5,0,2,0,11,7
2025-01-01 05:05:00,5,5,2,0,13,17
2025-01-01 05:10:00,5,10,2,0,9,7
2025-01-01 05:15:00,5,15,2,0,10,12
2025-01-01 05:20:00,5,20,2,0,18,10
2025-01-01 05:25:00,5,25,2,0,21,10
2025-01-01 05:30:00,5,30,2,0,16,10
2025-01-01 05:35:00,5,35,2,0,22,16
2025-01-01 05:40:00,5,40,2,0,20,17
2025-01-01 05:45:00,5,45,2,0,17,14
2025-01-01 05:50:00,5,50,2,0,22,9
2025-01-01 05:55:00,5,55,2,0,27,17
2025-01-01 06:00:00,6,0,2,0,22,18
2025-01-01 06:05:00,6,5,2,0,30,16
2025-01-01 06:10:00,6,10,2,0,14,25
2025-01-01 06:15:00,6,15,2,0,29,12
2025-01-01 06:20:00,6,20,2,0,27,11
2025-01-01 06:25:00,6,25,2,0,27,17
2025-01-01 06:30:00,6,30,2,0,30,24
2025-01-01 06:35:00,6,35,2,0,22,18
2025-01-01 06:40:00,6,40,2,0,31,19
2025-01-01 06:45:00,6,45,2,0,34,27
2025-01-01 06:50:00,6,50,2,0,40,26
2025-01-01 06:55:00,6,55,2,0,33,27
2025-01-01 07:00:00,7,0,2,0,33,29
2025-01-01 07:05:00,7,5,2,0,35,25
2025-01-01 07:10:00,7,10,2,0,42,26
2025-01-01 07:15:00,7,15,2,0,40,31
2025-01-01 07:20:00,7,20,2,0,38,23
2025-01-01 07:25:00,7,25,2,0,43,21
2025-01-01 07:30:00,7,30,2,0,41,28
2025-01-01 07:35:00,7,35,2,0,46,34
2025-01-01 07:40:00,7,40,2,0,39,31
2025-01-01 07:45:00,7,45,2,0,41,34
2025-01-01 07:50:00,7,50,2,0,41,23
2025-01-01 07:55:00,7,55,2,0,37,32
2025-01-01 08:00:00,8,0,2,0,44,34
2025-01-01 08:05:00,8,5,2,0,44,26
2025-01-01 08:10:00,8,10,2,0,43,34
2025-01-01 08:15:00,8,15,2,0,42,30
2025-01-01 08:20:00,8,20,2,0,36,43
2025-01-01 08:25:00,8,25,2,0,40,21
2025-01-01 08:30:00,8,30,2,0,40,35
2025-01-01 08:35:00,8,35,2,0,37,28
2025-01-01 08:40:00,8,40,2,0,39,22
2025-01-01 08:45:00,8,45,2,0,41,26
2025-01-01 08:50:00,8,50,2,0,46,29
2025-01-01 08:55:00,8,55,2,0,38,31
2025-01-01 09:00:00,9,0,2,0,37,33
2025-01-01 09:05:00,9,5,2,0,35,31
2025-01-01 09:10:00,9,10,2,0,26,21
