timestamp,hour,minute,day_of_week,is_weekend,ns_vehicle_count,ew_vehicle_count,ns_lag_1,ew_lag_1,ns_lag_2,ew_lag_2,ns_lag_3,ew_lag_3,ns_lag_6,ew_lag_6,ns_lag_12,ew_lag_12,ns_rolling_mean_3,ew_rolling_mean_3,ns_rolling_mean_6,ew_rolling_mean_6,ns_target,ew_target
2025-01-01 01:00:00,1,0,2,0,9,8,6.0,12.0,6.0,13.0,10.0,1.0,14.0,3.0,10.0,7.0,7.333333333333333,8.666666666666666,8.833333333333334,6.166666666666667,0.0,5.0
2025-01-01 01:05:00,1,5,2,0,0,5,9.0,8.0,6.0,12.0,6.0,13.0,11.0,3.0,7.0,8.0,7.0,11.0,8.0,7.0,1.0,5.0
2025-01-01 01:10:00,1,10,2,0,1,5,0.0,5.0,9.0,8.0,6.0,12.0,6.0,5.0,11.0,8.0,5.0,8.333333333333334,6.166666666666667,7.333333333333333,6.0,9.0
2025-01-01 01:15:00,1,15,2,0,6,9,1.0,5.0,0.0,5.0,9.0,8.0,10.0,1.0,14.0,0.0,3.3333333333333335,6.0,5.333333333333333,7.333333333333333,4.0,13.0
2025-01-01 01:20:00,1,20,2,0,4,13,6.0,9.0,1.0,5.0,0.0,5.0,6.0,13.0,7.0,9.0,2.3333333333333335,6.333333333333333,4.666666666666667,8.666666666666666,9.0,4.0
2025-01-01 01:25:00,1,25,2,0,9,4,4.0,13.0,6.0,9.0,1.0,5.0,6.0,12.0,7.0,7.0,3.6666666666666665,9.0,4.333333333333333,8.666666666666666,4.0,2.0
2025-01-01 01:30:00,1,30,2,0,4,2,9.0,4.0,4.0,13.0,6.0,9.0,9.0,8.0,14.0,3.0,6.333333333333333,8.666666666666666,4.833333333333333,7.333333333333333,2.0,12.0
2025-01-01 01:35:00,1,35,2,0,2,12,4.0,2.0,9.0,4.0,4.0,13.0,0.0,5.0,11.0,3.0,5.666666666666667,6.333333333333333,4.0,6.333333333333333,14.0,0.0
2025-01-01 01:40:00,1,40,2,0,14,0,2.0,12.0,4.0,2.0,9.0,4.0,1.0,5.0,6.0,5.0,5.0,6.0,4.333333333333333,7.5,7.0,2.0
2025-01-01 01:45:00,1,45,2,0,7,2,14.0,0.0,2.0,12.0,4.0,2.0,6.0,9.0,10.0,1.0,6.666666666666667,4.666666666666667,6.5,6.666666666666667,8.0,5.0
2025-01-01 01:50:00,1,50,2,0,8,5,7.0,2.0,14.0,0.0,2.0,12.0,4.0,13.0,6.0,13.0,7.666666666666667,4.666666666666667,6.666666666666667,5.5,2.0,0.0
2025-01-01 01:55:00,1,55,2,0,2,0,8.0,5.0,7.0,2.0,14.0,0.0,9.0,4.0,6.0,12.0,9.666666666666666,2.3333333333333335,7.333333333333333,4.166666666666667,6.0,10.0
2025-01-01 02:00:00,2,0,2,0,6,10,2.0,0.0,8.0,5.0,7.0,2.0,4.0,2.0,9.0,8.0,5.666666666666667,2.3333333333333335,6.166666666666667,3.5,8.0,9.0
2025-01-01 02:05:00,2,5,2,0,8,9,6.0,10.0,2.0,0.0,8.0,5.0,2.0,12.0,0.0,5.0,5.333333333333333,5.0,6.5,4.833333333333333,3.0,4.0
2025-01-01 02:10:00,2,10,2,0,3,4,8.0,9.0,6.0,10.0,2.0,0.0,14.0,0.0,1.0,5.0,5.333333333333333,6.333333333333333,7.5,4.333333333333333,10.0,11.0
2025-01-01 02:15:00,2,15,2,0,10,11,3.0,4.0,8.0,9.0,6.0,10.0,7.0,2.0,6.0,9.0,5.666666666666667,7.666666666666667,5.666666666666667,5.0,6.0,12.0
2025-01-01 02:20:00,2,20,2,0,6,12,10.0,11.0,3.0,4.0,8.0,9.0,8.0,5.0,4.0,13.0,7.0,8.0,6.166666666666667,6.5,7.0,6.0
2025-01-01 02:25:00,2,25,2,0,7,6,6.0,12.0,10.0,11.0,3.0,4.0,2.0,0.0,9.0,4.0,6.333333333333333,9.0,5.833333333333333,7.666666666666667,6.0,4.0
2025-01-01 02:30:00,2,30,2,0,6,4,7.0,6.0,6.0,12.0,10.0,11.0,6.0,10.0,4.0,2.0,7.666666666666667,9.666666666666666,6.666666666666667,8.666666666666666,15.0,15.0
2025-01-01 02:35:00,2,35,2,0,15,15,6.0,4.0,7.0,6.0,6.0,12.0,8.0,9.0,2.0,12.0,6.333333333333333,7.333333333333333,6.666666666666667,7.666666666666667,8.0,9.0
2025-01-01 02:40:00,2,40,2,0,8,9,15.0,15.0,6.0,4.0,7.0,6.0,3.0,4.0,14.0,0.0,9.333333333333334,8.333333333333334,7.833333333333333,8.666666666666666,4.0,7.0
2025-01-01 02:45:00,2,45,2,0,4,7,8.0,9.0,15.0,15.0,6.0,4.0,10.0,11.0,7.0,2.0,9.666666666666666,9.333333333333334,8.666666666666666,9.5,11.0,12.0
2025-01-01 02:50:00,2,50,2,0,11,12,4.0,7.0,8.0,9.0,15.0,15.0,6.0,12.0,8.0,5.0,9.0,10.333333333333334,7.666666666666667,8.833333333333334,3.0,7.0
2025-01-01 02:55:00,2,55,2,0,3,7,11.0,12.0,4.0,7.0,8.0,9.0,7.0,6.0,2.0,0.0,7.666666666666667,9.333333333333334,8.5,8.833333333333334,9.0,4.0
2025-01-01 03:00:00,3,0,2,0,9,4,3.0,7.0,11.0,12.0,4.0,7.0,6.0,4.0,6.0,10.0,6.0,8.666666666666666,7.833333333333333,9.0,0.0,6.0
2025-01-01 03:05:00,3,5,2,0,0,6,9.0,4.0,3.0,7.0,11.0,12.0,15.0,15.0,8.0,9.0,7.666666666666667,7.666666666666667,8.333333333333334,9.0,3.0,10.0
2025-01-01 03:10:00,3,10,2,0,3,10,0.0,6.0,9.0,4.0,3.0,7.0,8.0,9.0,3.0,4.0,4.0,5.666666666666667,5.833333333333333,7.5,9.0,0.0
2025-01-01 03:15:00,3,15,2,0,9,0,3.0,10.0,0.0,6.0,9.0,4.0,4.0,7.0,10.0,11.0,4.0,6.666666666666667,5.0,7.666666666666667,11.0,5.0
2025-01-01 03:20:00,3,20,2,0,11,5,9.0,0.0,3.0,10.0,0.0,6.0,11.0,12.0,6.0,12.0,4.0,5.333333333333333,5.833333333333333,6.5,9.0,12.0
